City_ID,City,Country,Max Temp,Current Description,Lat,Lon,Hotel Name
1,Fez,MA,80.85,light thunderstorm,34.0372,-4.9998,Hotel Mounia Fès
3,Hilo,US,86.29,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
4,Tshikapa,CD,75.4,clear sky,-6.4167,20.8,Tatem beach
11,Kapaa,US,82.72,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
16,Sakakah,SA,89.17,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
18,Rikitea,PF,75.06,clear sky,-23.1203,-134.9692,People ThankYou
26,Lasa,IT,76.08,light rain,46.6166,10.7002,Pension Feldgärtenhof
28,Kinablangan,PH,78.89,broken clouds,7.6947,126.5503,Morales Eatery and Lodging House
29,Bethel,US,85.62,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
30,Atuona,PF,78.22,broken clouds,-9.8,-139.0333,Villa Enata
32,Victoria,HK,84.38,overcast clouds,22.2855,114.1577,Mini Central
34,Port Blair,IN,82.38,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
37,Yenagoa,NG,75.0,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
46,Guerrero Negro,MX,75.45,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
51,Lakatoro,VU,78.98,few clouds,-16.0999,167.4164,Lakatoro Palm Lodge
55,Vanimo,PG,77.4,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
59,Brewster,US,86.27,clear sky,41.3973,-73.6171,Heidi's Inn
60,Pinheiro,BR,78.51,overcast clouds,-2.5214,-45.0825,Solares Hotel
61,Nishihara,JP,80.26,broken clouds,26.1842,127.7558,Minshuku Agaihama
65,Darab,IR,89.96,clear sky,28.7519,54.5444,Naghshe shapoor Hotel
66,Kutum,SD,82.24,scattered clouds,14.2,24.6667,Dibbo areaمنطقة دبو
67,Faanui,PF,78.4,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
69,Rajampet,IN,83.34,overcast clouds,14.1833,79.1667,Maruthi Prasanna
74,Butaritari,KI,82.26,light rain,3.0707,172.7902,Isles Sunset Lodge
76,Nushki,PK,84.7,broken clouds,29.5542,66.0215,Shams hotel
80,Kulhudhuffushi,MV,81.3,overcast clouds,6.6221,73.07,Haajy Guest House 1
81,Meulaboh,ID,76.42,moderate rain,4.1363,96.1285,Kost Pria
87,Sorong,ID,78.44,light rain,-0.8833,131.25,Waigo Splash Hotel
89,Broome,US,80.01,clear sky,42.2506,-75.833,Chenango Valley State Park
90,Kavieng,PG,81.57,moderate rain,-2.5744,150.7967,Nusa Island Retreat
93,Tuktoyaktuk,CA,78.8,broken clouds,69.4541,-133.0374,End of The Road Ltd.
97,Jamestown,US,79.52,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
100,Harper,LR,75.97,light rain,4.375,-7.7169,Screensaver
103,Arraial Do Cabo,BR,75.16,clear sky,-22.9661,-42.0278,Pousada Porto Praia
104,Zlitan,LY,77.59,few clouds,32.4674,14.5687,القسم الداخلي للجامعة الأسمرية
116,Neiafu,TO,77.68,few clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
119,Price,US,88.86,clear sky,39.5994,-110.8107,National 9 - Price River Inn
123,Alvaraes,BR,82.27,broken clouds,-3.2208,-64.8042,Av. Castelo Branco. Ginásio Ermelino vieira.
124,Georgetown,MY,83.95,few clouds,5.4112,100.3354,Cititel Penang
125,Sao Filipe,CV,75.02,few clouds,14.8961,-24.4956,Hotel Xaguate
131,Auki,SB,76.93,few clouds,-8.7676,160.7034,Auki Motel
135,Toul,FR,75.49,clear sky,48.6667,5.9167,Abc Hotel
136,Sinnamary,GF,81.55,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
137,Mana,GF,82.0,overcast clouds,5.6592,-53.7767,LE SAMANA
138,Puerto Ayora,EC,75.16,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
140,Marsh Harbour,BS,82.13,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
142,Merrill,US,78.58,clear sky,45.1805,-89.6835,Prairie Motel
143,Kitimat,CA,84.9,few clouds,54.0524,-128.6534,Kingfish Westcoast Adventures Ltd. Kitimat Estuary Lodge B&B
144,Zhob,PK,83.44,overcast clouds,31.3411,69.4481,ROOM # 105 DUBAI HOTEL ZHOB
149,Lompoc,US,76.78,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
151,Roma,US,76.51,clear sky,43.2128,-75.4557,Wingate By Wyndham Rome
154,Athens,GR,82.17,clear sky,37.9795,23.7162,Safestay Athens
160,Boca Do Acre,BR,83.35,overcast clouds,-8.7522,-67.3978,Hotel Sao Pedro
165,Cam Ranh,VN,82.36,few clouds,11.9214,109.1591,OYO 598 Peony Hotel
166,Dingle,PH,78.89,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
167,Marrakesh,MA,87.87,few clouds,31.6315,-8.0083,Les Jardins de La Koutoubia
172,Hambantota,LK,80.76,overcast clouds,6.1241,81.1185,Bungalow 63
175,Hithadhoo,MV,82.65,overcast clouds,-0.6,73.0833,Scoop Guest House
176,Porto Novo,BJ,78.62,few clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
178,Sao Felix Do Xingu,BR,87.64,broken clouds,-6.6447,-51.995,Rio Xingu Camping
183,Grand-Santi,GF,82.96,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
185,Katsuura,JP,77.23,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
191,Kavaratti,IN,82.29,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
198,George Town,MY,83.95,few clouds,5.4112,100.3354,Cititel Penang
200,Bengkulu,ID,75.27,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
201,Biltine,TD,88.86,overcast clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
209,Korla,CN,76.64,clear sky,41.7597,86.1469,Gulisitan Hotel
211,Avarua,CK,77.05,scattered clouds,-21.2078,-159.775,Paradise Inn
215,Chitral,PK,78.98,few clouds,35.8462,71.7858,PTDC Motel Chitral
221,Chapulhuacan,MX,84.27,few clouds,21.1667,-98.9,Posada HEIDI
222,Nantucket,US,80.71,clear sky,41.2835,-70.0995,Jared Coffin House
223,Kupang,ID,77.22,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
225,San Cristobal,VE,80.78,light rain,7.7669,-72.225,Pirineos
227,Yinchuan,CN,81.91,broken clouds,38.4681,106.2731,JJ Inns - Yinchuan New Moon Square Branch
228,Cockburn Town,TC,85.96,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
234,Bambanglipuro,ID,76.15,few clouds,-7.95,110.2833,Puri Brata
236,Takoradi,GH,76.21,scattered clouds,4.8845,-1.7554,Raybow International Hotel
237,Nagato,JP,75.76,overcast clouds,34.3833,131.2,いそう庵
246,Owando,CG,76.66,few clouds,-0.4819,15.8999,Exaunel Hotel Owando
248,Iquitos,PE,77.04,broken clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
249,Bandarbeyla,SO,75.61,clear sky,9.4942,50.8122,JABIR HOTEL
252,Iralaya,HN,83.3,overcast clouds,15.0,-83.2333,Iglesia morava renovada
260,Lagunas,PE,82.9,few clouds,-5.2269,-75.6753,Hospedaje Eco
