City_ID,City,Country,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Esperance,AU,-33.8667,121.9,48.43,74,0,13.87,clear sky
1,Fez,MA,34.0372,-4.9998,80.85,50,40,9.22,light thunderstorm
2,Walvis Bay,NA,-22.9575,14.5053,58.15,77,0,0.0,clear sky
3,Hilo,US,19.7297,-155.09,86.29,93,100,12.66,moderate rain
4,Tshikapa,CD,-6.4167,20.8,75.4,36,2,2.26,clear sky
5,Ketchikan,US,55.3422,-131.6461,72.07,60,0,10.36,clear sky
6,Leningradskiy,RU,69.3833,178.4167,47.03,76,93,4.65,overcast clouds
7,Dikson,RU,73.5069,80.5464,31.95,96,79,7.63,broken clouds
8,Estreito,BR,-5.7833,-43.25,84.92,46,15,1.83,few clouds
9,New Norfolk,AU,-42.7826,147.0587,42.91,86,76,1.99,broken clouds
10,Zabol,AF,32.25,67.25,80.67,50,0,5.91,clear sky
11,Kapaa,US,22.0752,-159.319,82.72,71,100,14.97,overcast clouds
12,Bangassou,CF,4.7413,22.8184,70.18,92,67,3.0,light rain
13,Albany,US,42.6001,-73.9662,82.45,41,0,1.01,clear sky
14,Atar,MR,20.5169,-13.0499,103.28,17,95,4.25,overcast clouds
15,Rockhampton,AU,-23.3833,150.5,53.49,87,75,4.61,broken clouds
16,Sakakah,SA,29.9697,40.2064,89.17,17,0,14.97,clear sky
17,Airai,TL,-8.9266,125.4092,58.96,95,99,3.24,overcast clouds
18,Rikitea,PF,-23.1203,-134.9692,75.06,73,0,16.71,clear sky
19,Souillac,MU,-20.5167,57.5167,71.98,73,75,17.27,light rain
20,Bluff,NZ,-46.6,168.3333,35.8,79,23,14.45,few clouds
21,Nikolskoye,RU,59.7035,30.7861,66.09,93,85,4.65,overcast clouds
22,Punta Arenas,CL,-53.15,-70.9167,30.31,86,75,4.61,broken clouds
23,Sisimiut,GL,66.9395,-53.6735,50.88,63,78,5.28,broken clouds
24,Wattegama,LK,6.7989,81.4808,75.6,93,100,2.86,overcast clouds
25,Obo,CF,5.3998,26.4869,67.59,96,57,3.4,moderate rain
26,Lasa,IT,46.6166,10.7002,76.08,86,83,1.41,light rain
27,Yellowknife,CA,62.456,-114.3525,64.92,42,75,8.99,broken clouds
28,Kinablangan,PH,7.6947,126.5503,78.89,83,51,3.74,broken clouds
29,Bethel,US,41.3712,-73.414,85.62,42,0,5.75,clear sky
30,Atuona,PF,-9.8,-139.0333,78.22,70,71,21.74,broken clouds
31,Ushuaia,AR,-54.8,-68.3,35.26,93,20,3.44,few clouds
32,Victoria,HK,22.2855,114.1577,84.38,86,99,17.0,overcast clouds
33,Asfi,MA,32.2994,-9.2372,68.92,78,1,15.61,clear sky
34,Port Blair,IN,11.6667,92.75,82.38,83,100,12.75,overcast clouds
35,Harwich,GB,51.9419,1.2844,66.0,72,87,3.0,overcast clouds
36,Constitucion,CL,-35.3333,-72.4167,52.7,67,33,6.13,scattered clouds
37,Yenagoa,NG,4.9247,6.2642,75.0,93,100,5.19,overcast clouds
38,Saint-Philippe,RE,-21.3585,55.7679,69.39,79,55,16.17,light rain
39,California City,US,35.1258,-117.9859,91.85,12,0,19.57,clear sky
40,Carnarvon,AU,-24.8667,113.6333,59.68,36,5,15.77,clear sky
41,Sorland,NO,67.667,12.6934,57.06,87,58,11.34,broken clouds
42,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,96.03,25,4,13.51,clear sky
43,Mataura,NZ,-46.1927,168.8643,35.47,97,9,2.89,clear sky
44,Kirkenes,NO,69.7271,30.0458,68.95,83,20,2.3,few clouds
45,Isangel,VU,-19.55,169.2667,69.91,100,75,2.3,broken clouds
46,Guerrero Negro,MX,27.9769,-114.0611,75.45,56,0,19.6,clear sky
47,Lavrentiya,RU,65.5833,-171.0,47.08,97,100,5.61,light rain
48,Invermere,CA,50.5167,-116.0354,70.65,58,100,7.43,overcast clouds
49,Hermanus,ZA,-34.4187,19.2345,53.55,80,0,5.77,clear sky
50,Alice Springs,AU,-23.7,133.8833,27.95,93,0,5.75,clear sky
51,Lakatoro,VU,-16.0999,167.4164,78.98,78,16,18.12,few clouds
52,Veinticinco De Mayo,AR,-35.4323,-60.1727,56.98,45,4,1.99,clear sky
53,Mar Del Plata,AR,-38.0023,-57.5575,55.09,45,0,10.36,clear sky
54,Chokurdakh,RU,70.6333,147.9167,53.33,86,100,10.78,light rain
55,Vanimo,PG,-2.6741,141.3028,77.4,85,100,3.98,overcast clouds
56,Havre-Saint-Pierre,CA,50.2334,-63.5986,59.36,63,0,25.32,clear sky
57,Bondoukou,CI,8.0333,-2.8,71.02,94,11,3.13,few clouds
58,Castro,BR,-24.7911,-50.0119,67.32,69,0,4.23,clear sky
59,Brewster,US,41.3973,-73.6171,86.27,44,0,5.75,clear sky
60,Pinheiro,BR,-2.5214,-45.0825,78.51,87,91,4.05,overcast clouds
61,Nishihara,JP,26.1842,127.7558,80.26,97,75,9.22,broken clouds
62,Cape Town,ZA,-33.9258,18.4232,56.88,87,40,3.44,scattered clouds
63,Byron Bay,AU,-28.65,153.6167,53.94,78,100,5.17,overcast clouds
64,East London,ZA,-33.0153,27.9116,64.45,82,100,7.65,light rain
65,Darab,IR,28.7519,54.5444,89.96,15,6,7.47,clear sky
66,Kutum,SD,14.2,24.6667,82.24,34,34,8.01,scattered clouds
67,Faanui,PF,-16.4833,-151.75,78.4,72,23,15.5,few clouds
68,Whitianga,NZ,-36.8333,175.7,50.49,88,31,5.39,scattered clouds
69,Rajampet,IN,14.1833,79.1667,83.34,60,100,14.54,overcast clouds
70,Kendari,ID,-3.945,122.4989,74.39,96,97,2.04,overcast clouds
71,Longyearbyen,SJ,78.2186,15.6401,49.84,71,75,2.3,broken clouds
72,Sitka,US,57.0531,-135.33,57.09,88,75,4.61,mist
73,Alvorada,BR,-12.48,-49.1247,91.65,19,4,8.1,clear sky
74,Butaritari,KI,3.0707,172.7902,82.26,77,100,20.09,light rain
75,Namibe,AO,-15.1961,12.1522,65.3,79,0,9.64,clear sky
76,Nushki,PK,29.5542,66.0215,84.7,54,81,4.09,broken clouds
77,Vila Franca Do Campo,PT,37.7167,-25.4333,66.61,68,28,8.19,scattered clouds
78,Kruisfontein,ZA,-34.0033,24.7314,53.89,84,25,4.25,scattered clouds
79,Sangar,RU,63.9242,127.4739,66.54,63,55,10.25,broken clouds
80,Kulhudhuffushi,MV,6.6221,73.07,81.3,74,100,11.92,overcast clouds
81,Meulaboh,ID,4.1363,96.1285,76.42,87,100,0.45,moderate rain
82,Mnogovershinnyy,RU,53.9353,139.9242,61.68,48,53,3.31,broken clouds
83,Qaanaaq,GL,77.484,-69.3632,36.79,100,100,7.25,light rain
84,Busselton,AU,-33.65,115.3333,52.86,63,0,13.98,clear sky
85,Ribeira Grande,PT,38.5167,-28.7,70.2,68,75,9.22,broken clouds
86,Cabo San Lucas,MX,22.8909,-109.9124,95.31,40,0,12.66,clear sky
87,Sorong,ID,-0.8833,131.25,78.44,84,75,6.4,light rain
88,Ahipara,NZ,-35.1667,173.1667,50.77,80,50,5.3,scattered clouds
89,Broome,US,42.2506,-75.833,80.01,42,0,11.5,clear sky
90,Kavieng,PG,-2.5744,150.7967,81.57,78,57,14.56,moderate rain
91,Coahuayana,MX,18.7333,-103.6833,91.51,58,91,7.96,overcast clouds
